Period;Grupp;Serie;Medel;Min;Max
1995 april;Valutor mot svenska kronor;1 DKK;1,353;1,32;1,3755
1995 maj;Valutor mot svenska kronor;1 DKK;1,32414;1,3035;1,352
1995 juni;Valutor mot svenska kronor;1 DKK;1,3276;1,306;1,3435
1995 juli;Valutor mot svenska kronor;1 DKK;1,32698;1,306;1,3475
1995 augusti;Valutor mot svenska kronor;1 DKK;1,29133;1,271;1,3175
1995 september;Valutor mot svenska kronor;1 DKK;1,26052;1,2365;1,2885
1995 oktober;Valutor mot svenska kronor;1 DKK;1,24534;1,213;1,27
1995 november;Valutor mot svenska kronor;1 DKK;1,20248;1,1735;1,222
1995 december;Valutor mot svenska kronor;1 DKK;1,18787;1,169;1,203
1996 januari;Valutor mot svenska kronor;1 DKK;1,18945;1,174;1,2135
1996 februari;Valutor mot svenska kronor;1 DKK;1,2135;1,184;1,229
1996 mars;Valutor mot svenska kronor;1 DKK;1,1795;1,16;1,1965
1996 april;Valutor mot svenska kronor;1 DKK;1,15768;1,1465;1,1685
1996 maj;Valutor mot svenska kronor;1 DKK;1,14935;1,1385;1,1645
1996 juni;Valutor mot svenska kronor;1 DKK;1,13434;1,123;1,1435
1996 juli;Valutor mot svenska kronor;1 DKK;1,14476;1,1305;1,161
1996 augusti;Valutor mot svenska kronor;1 DKK;1,15534;1,149;1,1655
1996 september;Valutor mot svenska kronor;1 DKK;1,14555;1,1305;1,1615
1996 oktober;Valutor mot svenska kronor;1 DKK;1,1267;1,122;1,133
1996 november;Valutor mot svenska kronor;1 DKK;1,1411;1,1295;1,151
1996 december;Valutor mot svenska kronor;1 DKK;1,14786;1,135;1,1555
1997 januari;Valutor mot svenska kronor;1 DKK;1,15374;1,14;1,167
1997 februari;Valutor mot svenska kronor;1 DKK;1,15942;1,146;1,174
1997 mars;Valutor mot svenska kronor;1 DKK;1,18218;1,1675;1,199
1997 april;Valutor mot svenska kronor;1 DKK;1,17943;1,165;1,201
1997 maj;Valutor mot svenska kronor;1 DKK;1,18355;1,1655;1,199
1997 juni;Valutor mot svenska kronor;1 DKK;1,17855;1,166;1,1935
1997 juli;Valutor mot svenska kronor;1 DKK;1,14576;1,1265;1,1665
1997 augusti;Valutor mot svenska kronor;1 DKK;1,13898;1,125;1,153
1997 september;Valutor mot svenska kronor;1 DKK;1,13091;1,1155;1,144
1997 oktober;Valutor mot svenska kronor;1 DKK;1,13187;1,123;1,1445
