Period;Grupp;Serie;Medel;Min;Max
1995 april;Valutor mot svenska kronor;1 EUR;9,76778;9,58;9,91
1995 maj;Valutor mot svenska kronor;1 EUR;9,54674;9,43;9,75
1995 juni;Valutor mot svenska kronor;1 EUR;9,571;9,44;9,68
1995 juli;Valutor mot svenska kronor;1 EUR;9,56857;9,44;9,69
1995 augusti;Valutor mot svenska kronor;1 EUR;9,36478;9,25;9,51
1995 september;Valutor mot svenska kronor;1 EUR;9,12048;8,97;9,36
1995 oktober;Valutor mot svenska kronor;1 EUR;8,87864;8,63;9,04
1995 november;Valutor mot svenska kronor;1 EUR;8,55409;8,39;8,67
1995 december;Valutor mot svenska kronor;1 EUR;8,45632;8,35;8,54
1996 januari;Valutor mot svenska kronor;1 EUR;8,48682;8,40;8,59
1996 februari;Valutor mot svenska kronor;1 EUR;8,62238;8,46;8,71
1996 mars;Valutor mot svenska kronor;1 EUR;8,44286;8,30;8,60
1996 april;Valutor mot svenska kronor;1 EUR;8,3565;8,32;8,40
1996 maj;Valutor mot svenska kronor;1 EUR;8,352;8,28;8,43
1996 juni;Valutor mot svenska kronor;1 EUR;8,27526;8,19;8,34
1996 juli;Valutor mot svenska kronor;1 EUR;8,33957;8,26;8,45
1996 augusti;Valutor mot svenska kronor;1 EUR;8,40045;8,35;8,46
1996 september;Valutor mot svenska kronor;1 EUR;8,36286;8,28;8,46
1996 oktober;Valutor mot svenska kronor;1 EUR;8,27261;8,23;8,32
1996 november;Valutor mot svenska kronor;1 EUR;8,41667;8,33;8,50
1996 december;Valutor mot svenska kronor;1 EUR;8,47556;8,41;8,53
1997 januari;Valutor mot svenska kronor;1 EUR;8,54143;8,44;8,64
1997 februari;Valutor mot svenska kronor;1 EUR;8,582;8,49;8,69
1997 mars;Valutor mot svenska kronor;1 EUR;8,75526;8,64;8,87
1997 april;Valutor mot svenska kronor;1 EUR;8,76455;8,66;8,91
1997 maj;Valutor mot svenska kronor;1 EUR;8,78579;8,67;8,91
