Period;Grupp;Serie;Medel;Min;Max
1995 april;Valutor mot svenska kronor;1 NOK;1,18703;1,1615;1,205
1995 maj;Valutor mot svenska kronor;1 NOK;1,15917;1,1435;1,179
1995 juni;Valutor mot svenska kronor;1 NOK;1,16412;1,1455;1,177
1995 juli;Valutor mot svenska kronor;1 NOK;1,16305;1,146;1,1805
1995 augusti;Valutor mot svenska kronor;1 NOK;1,14065;1,129;1,156
1995 september;Valutor mot svenska kronor;1 NOK;1,11631;1,0965;1,145
1995 oktober;Valutor mot svenska kronor;1 NOK;1,09659;1,064;1,1175
1995 november;Valutor mot svenska kronor;1 NOK;1,0563;1,0305;1,072
1995 december;Valutor mot svenska kronor;1 NOK;1,04303;1,0275;1,0555
1996 januari;Valutor mot svenska kronor;1 NOK;1,04773;1,0355;1,071
1996 februari;Valutor mot svenska kronor;1 NOK;1,0746;1,0495;1,0875
1996 mars;Valutor mot svenska kronor;1 NOK;1,04733;1,03;1,063
1996 april;Valutor mot svenska kronor;1 NOK;1,03515;1,0285;1,0415
1996 maj;Valutor mot svenska kronor;1 NOK;1,03405;1,024;1,045
1996 juni;Valutor mot svenska kronor;1 NOK;1,02295;1,0125;1,033
1996 juli;Valutor mot svenska kronor;1 NOK;1,02952;1,0215;1,041
1996 augusti;Valutor mot svenska kronor;1 NOK;1,03277;1,026;1,041
1996 september;Valutor mot svenska kronor;1 NOK;1,02876;1,0175;1,0395
1996 oktober;Valutor mot svenska kronor;1 NOK;1,01763;1,0105;1,027
1996 november;Valutor mot svenska kronor;1 NOK;1,04245;1,0305;1,0495
1996 december;Valutor mot svenska kronor;1 NOK;1,05383;1,044;1,0655
1997 januari;Valutor mot svenska kronor;1 NOK;1,09552;1,071;1,119
1997 februari;Valutor mot svenska kronor;1 NOK;1,11732;1,1015;1,1415
1997 mars;Valutor mot svenska kronor;1 NOK;1,12439;1,0985;1,1535
1997 april;Valutor mot svenska kronor;1 NOK;1,10268;1,083;1,142
1997 maj;Valutor mot svenska kronor;1 NOK;1,08689;1,066;1,11
1997 juni;Valutor mot svenska kronor;1 NOK;1,0754;1,057;1,093
1997 juli;Valutor mot svenska kronor;1 NOK;1,05046;1,042;1,061
1997 augusti;Valutor mot svenska kronor;1 NOK;1,04821;1,0415;1,055
1997 september;Valutor mot svenska kronor;1 NOK;1,05261;1,0435;1,0685
1997 oktober;Valutor mot svenska kronor;1 NOK;1,07037;1,0615;1,08
1997 november;Valutor mot svenska kronor;1 NOK;1,07158;1,066;1,078
1997 december;Valutor mot svenska kronor;1 NOK;1,07432;1,066;1,0855
1998 januari;Valutor mot svenska kronor;1 NOK;1,06948;1,0635;1,0795
1998 februari;Valutor mot svenska kronor;1 NOK;1,06932;1,06;1,077
1998 mars;Valutor mot svenska kronor;1 NOK;1,05141;1,046;1,061
1998 april;Valutor mot svenska kronor;1 NOK;1,03928;1,031;1,0485
1998 maj;Valutor mot svenska kronor;1 NOK;1,03282;1,0265;1,038
1998 juni;Valutor mot svenska kronor;1 NOK;1,04452;1,0365;1,053
1998 juli;Valutor mot svenska kronor;1 NOK;1,04765;1,04;1,0525
1998 augusti;Valutor mot svenska kronor;1 NOK;1,05419;1,004;1,07
1998 september;Valutor mot svenska kronor;1 NOK;1,04436;1,0235;1,065
1998 oktober;Valutor mot svenska kronor;1 NOK;1,0568;1,04;1,077
1998 november;Valutor mot svenska kronor;1 NOK;1,07305;1,055;1,0905
1998 december;Valutor mot svenska kronor;1 NOK;1,06215;1,027;1,09
1999 januari;Valutor mot svenska kronor;1 NOK;1,05105;1,035;1,076
1999 februari;Valutor mot svenska kronor;1 NOK;1,03002;1,0205;1,039
1999 mars;Valutor mot svenska kronor;1 NOK;1,05093;1,035;1,07
1999 april;Valutor mot svenska kronor;1 NOK;1,0717;1,062;1,0785
1999 maj;Valutor mot svenska kronor;1 NOK;1,08966;1,08;1,098
1999 juni;Valutor mot svenska kronor;1 NOK;1,08133;1,072;1,091
1999 juli;Valutor mot svenska kronor;1 NOK;1,07016;1,0525;1,08
1999 augusti;Valutor mot svenska kronor;1 NOK;1,05975;1,0475;1,0675
1999 september;Valutor mot svenska kronor;1 NOK;1,04986;1,043;1,056
1999 oktober;Valutor mot svenska kronor;1 NOK;1,05336;1,0455;1,0635
1999 november;Valutor mot svenska kronor;1 NOK;1,05318;1,0485;1,0575
1999 december;Valutor mot svenska kronor;1 NOK;1,06007;1,055;1,0655
2000 januari;Valutor mot svenska kronor;1 NOK;1,05812;1,051;1,0635
2000 februari;Valutor mot svenska kronor;1 NOK;1,05093;1,044;1,0635
2000 mars;Valutor mot svenska kronor;1 NOK;1,03474;1,02;1,0495
2000 april;Valutor mot svenska kronor;1 NOK;1,01456;0,998;1,0225
2000 maj;Valutor mot svenska kronor;1 NOK;1,00475;1,00;1,0125
2000 juni;Valutor mot svenska kronor;1 NOK;1,00811;0,9975;1,0275
2000 juli;Valutor mot svenska kronor;1 NOK;1,02802;1,023;1,0365
2000 augusti;Valutor mot svenska kronor;1 NOK;1,03661;1,028;1,045
2000 september;Valutor mot svenska kronor;1 NOK;1,04743;1,0365;1,064
2000 oktober;Valutor mot svenska kronor;1 NOK;1,06525;1,058;1,076
2000 november;Valutor mot svenska kronor;1 NOK;1,07968;1,072;1,0855
2000 december;Valutor mot svenska kronor;1 NOK;1,06537;1,052;1,0805
2001 januari;Valutor mot svenska kronor;1 NOK;1,08016;1,07;1,0865
2001 februari;Valutor mot svenska kronor;1 NOK;1,09326;1,0805;1,101
2001 mars;Valutor mot svenska kronor;1 NOK;1,11852;1,099;1,14
2001 april;Valutor mot svenska kronor;1 NOK;1,12289;1,117;1,135
2001 maj;Valutor mot svenska kronor;1 NOK;1,13219;1,119;1,1545
2001 juni;Valutor mot svenska kronor;1 NOK;1,15932;1,144;1,173
