Period;Grupp;Serie;Medel;Min;Max
1995 april;Valutor mot svenska kronor;1 USD;7,34417;7,225;7,4375
1995 maj;Valutor mot svenska kronor;1 USD;7,29036;7,135;7,425
1995 juni;Valutor mot svenska kronor;1 USD;7,25962;7,2175;7,3775
1995 juli;Valutor mot svenska kronor;1 USD;7,17988;7,035;7,2725
1995 augusti;Valutor mot svenska kronor;1 USD;7,22837;7,0575;7,3825
1995 september;Valutor mot svenska kronor;1 USD;7,1425;6,945;7,3075
1995 oktober;Valutor mot svenska kronor;1 USD;6,8383;6,5875;6,98
1995 november;Valutor mot svenska kronor;1 USD;6,59761;6,4675;6,695
1995 december;Valutor mot svenska kronor;1 USD;6,62961;6,52;6,74
1996 januari;Valutor mot svenska kronor;1 USD;6,72216;6,5775;6,985
1996 februari;Valutor mot svenska kronor;1 USD;6,88155;6,655;7,0075
1996 mars;Valutor mot svenska kronor;1 USD;6,73321;6,615;6,86
1996 april;Valutor mot svenska kronor;1 USD;6,72412;6,6425;6,83
1996 maj;Valutor mot svenska kronor;1 USD;6,7995;6,7475;6,8575
1996 juni;Valutor mot svenska kronor;1 USD;6,68105;6,5975;6,76
1996 juli;Valutor mot svenska kronor;1 USD;6,6413;6,5425;6,7275
1996 augusti;Valutor mot svenska kronor;1 USD;6,61898;6,58;6,65
1996 september;Valutor mot svenska kronor;1 USD;6,64202;6,5525;6,7425
1996 oktober;Valutor mot svenska kronor;1 USD;6,59946;6,5575;6,645
1996 november;Valutor mot svenska kronor;1 USD;6,62226;6,5825;6,6975
1996 december;Valutor mot svenska kronor;1 USD;6,81444;6,715;6,87
1997 januari;Valutor mot svenska kronor;1 USD;7,05952;6,855;7,3125
1997 februari;Valutor mot svenska kronor;1 USD;7,39988;7,2775;7,51
1997 mars;Valutor mot svenska kronor;1 USD;7,65461;7,5425;7,745
1997 april;Valutor mot svenska kronor;1 USD;7,67886;7,5375;7,8275
1997 maj;Valutor mot svenska kronor;1 USD;7,67355;7,485;7,8875
1997 juni;Valutor mot svenska kronor;1 USD;7,74475;7,6825;7,795
1997 juli;Valutor mot svenska kronor;1 USD;7,80511;7,6975;7,955
1997 augusti;Valutor mot svenska kronor;1 USD;7,99667;7,805;8,0925
1997 september;Valutor mot svenska kronor;1 USD;7,70023;7,4825;7,9325
1997 oktober;Valutor mot svenska kronor;1 USD;7,57348;7,48;7,70
1997 november;Valutor mot svenska kronor;1 USD;7,56025;7,4475;7,755
1997 december;Valutor mot svenska kronor;1 USD;7,78461;7,735;7,87
1998 januari;Valutor mot svenska kronor;1 USD;8,00925;7,855;8,1275
1998 februari;Valutor mot svenska kronor;1 USD;8,07875;7,995;8,135
1998 mars;Valutor mot svenska kronor;1 USD;7,96648;7,875;8,06
1998 april;Valutor mot svenska kronor;1 USD;7,82425;7,6575;8,035
1998 maj;Valutor mot svenska kronor;1 USD;7,69145;7,59;7,83
1998 juni;Valutor mot svenska kronor;1 USD;7,9081;7,725;8,0575
1998 juli;Valutor mot svenska kronor;1 USD;7,98585;7,8625;8,11
1998 augusti;Valutor mot svenska kronor;1 USD;8,12786;7,9425;8,3475
1998 september;Valutor mot svenska kronor;1 USD;7,9117;7,80;8,115
1998 oktober;Valutor mot svenska kronor;1 USD;7,8508;7,73;8,0675
1998 november;Valutor mot svenska kronor;1 USD;7,9944;7,75;8,21
1998 december;Valutor mot svenska kronor;1 USD;8,05425;7,99;8,1575
1999 januari;Valutor mot svenska kronor;1 USD;7,82434;7,71;8,0675
