﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Malmö-Sturup Flygplats;53300;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-01-01 00:00:00;1997-10-31 23:59:59;72.0;55.5390;13.3665
1997-11-01 00:00:00;2026-05-01 14:20:59;72.0;55.5231;13.3787

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1972-12-01 00:00:01;1973-01-01 00:00:00;1972-12;3.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1973-01-01 00:00:01;1973-02-01 00:00:00;1973-01;0.3;Y;;Tidsperiod (fr.o.m.) = 1973-01-01 00:00:00 (UTC)
1973-02-01 00:00:01;1973-03-01 00:00:00;1973-02;1.5;Y;;Tidsperiod (t.o.m.) = 2026-02-01 06:00:00 (UTC)
1973-03-01 00:00:01;1973-04-01 00:00:00;1973-03;4.1;Y;;Medelvärdet är beräknat för = 1 månad
1973-04-01 00:00:01;1973-05-01 00:00:00;1973-04;4.4;Y;;Kvalitetskoderna:
1973-05-01 00:00:01;1973-06-01 00:00:00;1973-05;10.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1973-06-01 00:00:01;1973-07-01 00:00:00;1973-06;15.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1973-07-01 00:00:01;1973-08-01 00:00:00;1973-07;17.7;Y;;Nätinformation:
1973-08-01 00:00:01;1973-09-01 00:00:00;1973-08;16.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1973-09-01 00:00:01;1973-10-01 00:00:00;1973-09;12.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1973-10-01 00:00:01;1973-11-01 00:00:00;1973-10;6.3;Y;;Möjliga orsaker till saknade data:
1973-11-01 00:00:01;1973-12-01 00:00:00;1973-11;2.5;Y;;– stationen eller givaren har varit ur funktion.
1973-12-01 00:00:01;1974-01-01 00:00:00;1973-12;0.3;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1974-01-01 00:00:01;1974-02-01 00:00:00;1974-01;2.1;Y
1974-02-01 00:00:01;1974-03-01 00:00:00;1974-02;2.2;Y
1974-03-01 00:00:01;1974-04-01 00:00:00;1974-03;3.0;Y
1974-04-01 00:00:01;1974-05-01 00:00:00;1974-04;7.2;Y
1974-05-01 00:00:01;1974-06-01 00:00:00;1974-05;9.9;Y
1974-06-01 00:00:01;1974-07-01 00:00:00;1974-06;14.0;Y
1974-07-01 00:00:01;1974-08-01 00:00:00;1974-07;14.7;Y
1974-08-01 00:00:01;1974-09-01 00:00:00;1974-08;16.0;Y
1974-09-01 00:00:01;1974-10-01 00:00:00;1974-09;13.1;Y
1974-10-01 00:00:01;1974-11-01 00:00:00;1974-10;6.6;Y
1974-11-01 00:00:01;1974-12-01 00:00:00;1974-11;5.1;Y
1974-12-01 00:00:01;1975-01-01 00:00:00;1974-12;4.1;Y
1975-01-01 00:00:01;1975-02-01 00:00:00;1975-01;4.1;Y
1975-02-01 00:00:01;1975-03-01 00:00:00;1975-02;1.0;Y
1975-03-01 00:00:01;1975-04-01 00:00:00;1975-03;2.2;Y
1975-04-01 00:00:01;1975-05-01 00:00:00;1975-04;5.0;Y
1975-05-01 00:00:01;1975-06-01 00:00:00;1975-05;10.7;Y
1975-06-01 00:00:01;1975-07-01 00:00:00;1975-06;14.3;Y
1975-07-01 00:00:01;1975-08-01 00:00:00;1975-07;17.8;Y
1975-08-01 00:00:01;1975-09-01 00:00:00;1975-08;19.1;Y
1975-09-01 00:00:01;1975-10-01 00:00:00;1975-09;14.6;Y
1975-10-01 00:00:01;1975-11-01 00:00:00;1975-10;8.4;Y
1975-11-01 00:00:01;1975-12-01 00:00:00;1975-11;3.8;Y
1975-12-01 00:00:01;1976-01-01 00:00:00;1975-12;3.1;Y
1976-01-01 00:00:01;1976-02-01 00:00:00;1976-01;-0.8;Y
1976-02-01 00:00:01;1976-03-01 00:00:00;1976-02;-0.5;Y
1976-03-01 00:00:01;1976-04-01 00:00:00;1976-03;-1.1;Y
1976-04-01 00:00:01;1976-05-01 00:00:00;1976-04;5.0;Y
1976-05-01 00:00:01;1976-06-01 00:00:00;1976-05;10.6;Y
1976-06-01 00:00:01;1976-07-01 00:00:00;1976-06;14.8;Y
1976-07-01 00:00:01;1976-08-01 00:00:00;1976-07;17.5;Y
1976-08-01 00:00:01;1976-09-01 00:00:00;1976-08;16.7;Y
1976-09-01 00:00:01;1976-10-01 00:00:00;1976-09;12.1;Y
1976-10-01 00:00:01;1976-11-01 00:00:00;1976-10;8.3;Y
1976-11-01 00:00:01;1976-12-01 00:00:00;1976-11;4.6;Y
1976-12-01 00:00:01;1977-01-01 00:00:00;1976-12;-0.8;Y
1977-01-01 00:00:01;1977-02-01 00:00:00;1977-01;-0.6;Y
1977-02-01 00:00:01;1977-03-01 00:00:00;1977-02;-0.5;Y
1977-03-01 00:00:01;1977-04-01 00:00:00;1977-03;2.6;Y
1977-04-01 00:00:01;1977-05-01 00:00:00;1977-04;3.9;Y
1977-05-01 00:00:01;1977-06-01 00:00:00;1977-05;10.7;Y
1977-06-01 00:00:01;1977-07-01 00:00:00;1977-06;15.3;Y
1977-07-01 00:00:01;1977-08-01 00:00:00;1977-07;15.8;Y
1977-08-01 00:00:01;1977-09-01 00:00:00;1977-08;15.3;Y
1977-09-01 00:00:01;1977-10-01 00:00:00;1977-09;11.6;Y
1977-10-01 00:00:01;1977-11-01 00:00:00;1977-10;9.5;Y
1977-11-01 00:00:01;1977-12-01 00:00:00;1977-11;5.0;Y
1977-12-01 00:00:01;1978-01-01 00:00:00;1977-12;2.1;Y
1978-01-01 00:00:01;1978-02-01 00:00:00;1978-01;0.5;Y
1978-02-01 00:00:01;1978-03-01 00:00:00;1978-02;-2.8;Y
1978-03-01 00:00:01;1978-04-01 00:00:00;1978-03;1.7;Y
1978-04-01 00:00:01;1978-05-01 00:00:00;1978-04;4.2;Y
1978-05-01 00:00:01;1978-06-01 00:00:00;1978-05;11.0;Y
1978-06-01 00:00:01;1978-07-01 00:00:00;1978-06;14.7;Y
1978-07-01 00:00:01;1978-08-01 00:00:00;1978-07;14.9;Y
1978-08-01 00:00:01;1978-09-01 00:00:00;1978-08;15.7;Y
1978-09-01 00:00:01;1978-10-01 00:00:00;1978-09;11.2;Y
1978-10-01 00:00:01;1978-11-01 00:00:00;1978-10;8.9;Y
1978-11-01 00:00:01;1978-12-01 00:00:00;1978-11;6.8;Y
1978-12-01 00:00:01;1979-01-01 00:00:00;1978-12;-1.3;Y
1979-01-01 00:00:01;1979-02-01 00:00:00;1979-01;-4.3;Y
1979-02-01 00:00:01;1979-03-01 00:00:00;1979-02;-3.8;Y
1979-03-01 00:00:01;1979-04-01 00:00:00;1979-03;0.4;Y
1979-04-01 00:00:01;1979-05-01 00:00:00;1979-04;4.4;Y
1979-05-01 00:00:01;1979-06-01 00:00:00;1979-05;11.0;Y
1979-06-01 00:00:01;1979-07-01 00:00:00;1979-06;15.6;Y
1979-07-01 00:00:01;1979-08-01 00:00:00;1979-07;14.3;Y
1979-08-01 00:00:01;1979-09-01 00:00:00;1979-08;15.3;Y
1979-09-01 00:00:01;1979-10-01 00:00:00;1979-09;12.2;Y
1979-10-01 00:00:01;1979-11-01 00:00:00;1979-10;7.2;Y
1979-11-01 00:00:01;1979-12-01 00:00:00;1979-11;4.2;Y
1979-12-01 00:00:01;1980-01-01 00:00:00;1979-12;1.7;Y
1980-01-01 00:00:01;1980-02-01 00:00:00;1980-01;-3.0;Y
1980-02-01 00:00:01;1980-03-01 00:00:00;1980-02;-2.3;Y
1980-03-01 00:00:01;1980-04-01 00:00:00;1980-03;-0.5;Y
1980-04-01 00:00:01;1980-05-01 00:00:00;1980-04;5.5;Y
1980-05-01 00:00:01;1980-06-01 00:00:00;1980-05;9.5;Y
1980-06-01 00:00:01;1980-07-01 00:00:00;1980-06;14.7;Y
1980-07-01 00:00:01;1980-08-01 00:00:00;1980-07;16.0;Y
1980-08-01 00:00:01;1980-09-01 00:00:00;1980-08;15.2;Y
1980-09-01 00:00:01;1980-10-01 00:00:00;1980-09;13.0;Y
1980-10-01 00:00:01;1980-11-01 00:00:00;1980-10;7.7;Y
1980-11-01 00:00:01;1980-12-01 00:00:00;1980-11;3.1;Y
1980-12-01 00:00:01;1981-01-01 00:00:00;1980-12;1.2;Y
1981-01-01 00:00:01;1981-02-01 00:00:00;1981-01;-1.8;Y
1981-02-01 00:00:01;1981-03-01 00:00:00;1981-02;-0.2;Y
1981-03-01 00:00:01;1981-04-01 00:00:00;1981-03;2.2;Y
1981-04-01 00:00:01;1981-05-01 00:00:00;1981-04;5.5;Y
1981-05-01 00:00:01;1981-06-01 00:00:00;1981-05;12.2;Y
1981-06-01 00:00:01;1981-07-01 00:00:00;1981-06;14.1;Y
1981-07-01 00:00:01;1981-08-01 00:00:00;1981-07;15.7;Y
1981-08-01 00:00:01;1981-09-01 00:00:00;1981-08;15.6;Y
1981-09-01 00:00:01;1981-10-01 00:00:00;1981-09;13.2;Y
1981-10-01 00:00:01;1981-11-01 00:00:00;1981-10;7.7;Y
1981-11-01 00:00:01;1981-12-01 00:00:00;1981-11;4.1;Y
1981-12-01 00:00:01;1982-01-01 00:00:00;1981-12;-4.3;Y
1982-01-01 00:00:01;1982-02-01 00:00:00;1982-01;-4.4;Y
1982-02-01 00:00:01;1982-03-01 00:00:00;1982-02;-1.8;Y
1982-03-01 00:00:01;1982-04-01 00:00:00;1982-03;2.9;Y
1982-04-01 00:00:01;1982-05-01 00:00:00;1982-04;6.2;Y
1982-05-01 00:00:01;1982-06-01 00:00:00;1982-05;10.6;Y
1982-06-01 00:00:01;1982-07-01 00:00:00;1982-06;13.9;Y
1982-07-01 00:00:01;1982-08-01 00:00:00;1982-07;17.9;Y
1982-08-01 00:00:01;1982-09-01 00:00:00;1982-08;17.3;Y
1982-09-01 00:00:01;1982-10-01 00:00:00;1982-09;13.6;Y
1982-10-01 00:00:01;1982-11-01 00:00:00;1982-10;9.9;Y
1982-11-01 00:00:01;1982-12-01 00:00:00;1982-11;6.2;Y
1982-12-01 00:00:01;1983-01-01 00:00:00;1982-12;2.3;Y
1983-01-01 00:00:01;1983-02-01 00:00:00;1983-01;3.9;Y
1983-02-01 00:00:01;1983-03-01 00:00:00;1983-02;-1.6;Y
1983-03-01 00:00:01;1983-04-01 00:00:00;1983-03;3.2;Y
1983-04-01 00:00:01;1983-05-01 00:00:00;1983-04;5.9;Y
1983-05-01 00:00:01;1983-06-01 00:00:00;1983-05;10.5;Y
1983-06-01 00:00:01;1983-07-01 00:00:00;1983-06;14.4;Y
1983-07-01 00:00:01;1983-08-01 00:00:00;1983-07;17.9;Y
1983-08-01 00:00:01;1983-09-01 00:00:00;1983-08;17.3;Y
1983-09-01 00:00:01;1983-10-01 00:00:00;1983-09;13.2;Y
1983-10-01 00:00:01;1983-11-01 00:00:00;1983-10;8.9;Y
1983-11-01 00:00:01;1983-12-01 00:00:00;1983-11;3.0;Y
1983-12-01 00:00:01;1984-01-01 00:00:00;1983-12;0.7;Y
1984-01-01 00:00:01;1984-02-01 00:00:00;1984-01;0.6;Y
1984-02-01 00:00:01;1984-03-01 00:00:00;1984-02;-0.7;Y
1984-03-01 00:00:01;1984-04-01 00:00:00;1984-03;0.4;Y
1984-04-01 00:00:01;1984-05-01 00:00:00;1984-04;6.5;Y
1984-05-01 00:00:01;1984-06-01 00:00:00;1984-05;11.1;Y
1984-06-01 00:00:01;1984-07-01 00:00:00;1984-06;13.3;Y
1984-07-01 00:00:01;1984-08-01 00:00:00;1984-07;15.5;Y
1984-08-01 00:00:01;1984-09-01 00:00:00;1984-08;16.8;Y
1984-09-01 00:00:01;1984-10-01 00:00:00;1984-09;11.4;Y
1984-10-01 00:00:01;1984-11-01 00:00:00;1984-10;10.5;Y
1984-11-01 00:00:01;1984-12-01 00:00:00;1984-11;5.5;Y
1984-12-01 00:00:01;1985-01-01 00:00:00;1984-12;1.8;Y
1985-01-01 00:00:01;1985-02-01 00:00:00;1985-01;-5.8;Y
1985-02-01 00:00:01;1985-03-01 00:00:00;1985-02;-6.9;Y
1985-03-01 00:00:01;1985-04-01 00:00:00;1985-03;0.4;Y
1985-04-01 00:00:01;1985-05-01 00:00:00;1985-04;4.3;Y
1985-05-01 00:00:01;1985-06-01 00:00:00;1985-05;11.6;Y
1985-06-01 00:00:01;1985-07-01 00:00:00;1985-06;13.6;Y
1985-07-01 00:00:01;1985-08-01 00:00:00;1985-07;16.2;Y
1985-08-01 00:00:01;1985-09-01 00:00:00;1985-08;15.4;Y
1985-09-01 00:00:01;1985-10-01 00:00:00;1985-09;11.6;Y
1985-10-01 00:00:01;1985-11-01 00:00:00;1985-10;9.4;Y
1985-11-01 00:00:01;1985-12-01 00:00:00;1985-11;1.6;Y
1985-12-01 00:00:01;1986-01-01 00:00:00;1985-12;2.1;Y
1986-01-01 00:00:01;1986-02-01 00:00:00;1986-01;-1.9;Y
1986-02-01 00:00:01;1986-03-01 00:00:00;1986-02;-6.1;Y
1986-03-01 00:00:01;1986-04-01 00:00:00;1986-03;0.4;Y
1986-04-01 00:00:01;1986-05-01 00:00:00;1986-04;4.2;Y
1986-05-01 00:00:01;1986-06-01 00:00:00;1986-05;11.7;Y
1986-06-01 00:00:01;1986-07-01 00:00:00;1986-06;14.6;Y
1986-07-01 00:00:01;1986-08-01 00:00:00;1986-07;16.2;Y
1986-08-01 00:00:01;1986-09-01 00:00:00;1986-08;14.5;Y
1986-09-01 00:00:01;1986-10-01 00:00:00;1986-09;10.1;Y
1986-10-01 00:00:01;1986-11-01 00:00:00;1986-10;8.3;Y
1986-11-01 00:00:01;1986-12-01 00:00:00;1986-11;6.3;Y
1986-12-01 00:00:01;1987-01-01 00:00:00;1986-12;1.3;Y
1987-01-01 00:00:01;1987-02-01 00:00:00;1987-01;-6.6;Y
1987-02-01 00:00:01;1987-03-01 00:00:00;1987-02;-2.0;Y
1987-03-01 00:00:01;1987-04-01 00:00:00;1987-03;-2.5;Y
1987-04-01 00:00:01;1987-05-01 00:00:00;1987-04;5.4;Y
1987-05-01 00:00:01;1987-06-01 00:00:00;1987-05;9.1;Y
1987-06-01 00:00:01;1987-07-01 00:00:00;1987-06;12.0;Y
1987-07-01 00:00:01;1987-08-01 00:00:00;1987-07;14.9;Y
1987-08-01 00:00:01;1987-09-01 00:00:00;1987-08;14.7;Y
1987-09-01 00:00:01;1987-10-01 00:00:00;1987-09;11.9;Y
1987-10-01 00:00:01;1987-11-01 00:00:00;1987-10;9.0;Y
1987-11-01 00:00:01;1987-12-01 00:00:00;1987-11;4.6;Y
1987-12-01 00:00:01;1988-01-01 00:00:00;1987-12;2.0;Y
1988-01-01 00:00:01;1988-02-01 00:00:00;1988-01;2.6;Y
1988-02-01 00:00:01;1988-03-01 00:00:00;1988-02;1.5;Y
1988-03-01 00:00:01;1988-04-01 00:00:00;1988-03;0.6;Y
