﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2026-05-01 14:20:59;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1996-10-01 00:00:01;1996-11-01 00:00:00;1996-10;8.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-11-01 00:00:01;1996-12-01 00:00:00;1996-11;3.6;Y;;Tidsperiod (fr.o.m.) = 1996-11-01 00:00:00 (UTC)
1996-12-01 00:00:01;1997-01-01 00:00:00;1996-12;-2.6;Y;;Tidsperiod (t.o.m.) = 2026-02-01 06:00:00 (UTC)
1997-01-01 00:00:01;1997-02-01 00:00:00;1997-01;-1.5;Y;;Medelvärdet är beräknat för = 1 månad
1997-02-01 00:00:01;1997-03-01 00:00:00;1997-02;0.4;Y;;Kvalitetskoderna:
1997-03-01 00:00:01;1997-04-01 00:00:00;1997-03;2.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1997-04-01 00:00:01;1997-05-01 00:00:00;1997-04;4.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1997-05-01 00:00:01;1997-06-01 00:00:00;1997-05;9.4;Y;;Nätinformation:
1997-06-01 00:00:01;1997-07-01 00:00:00;1997-06;16.2;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1997-07-01 00:00:01;1997-08-01 00:00:00;1997-07;19.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1997-08-01 00:00:01;1997-09-01 00:00:00;1997-08;21.1;Y;;Möjliga orsaker till saknade data:
1997-09-01 00:00:01;1997-10-01 00:00:00;1997-09;13.1;Y;;– stationen eller givaren har varit ur funktion.
1997-10-01 00:00:01;1997-11-01 00:00:00;1997-10;5.0;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1997-11-01 00:00:01;1997-12-01 00:00:00;1997-11;2.6;Y
1997-12-01 00:00:01;1998-01-01 00:00:00;1997-12;0.1;Y
1998-01-01 00:00:01;1998-02-01 00:00:00;1998-01;0.4;Y
1998-02-01 00:00:01;1998-03-01 00:00:00;1998-02;1.7;Y
1998-03-01 00:00:01;1998-04-01 00:00:00;1998-03;0.4;Y
1998-04-01 00:00:01;1998-05-01 00:00:00;1998-04;4.0;Y
1998-05-01 00:00:01;1998-06-01 00:00:00;1998-05;10.9;Y
1998-06-01 00:00:01;1998-07-01 00:00:00;1998-06;13.3;Y
1998-07-01 00:00:01;1998-08-01 00:00:00;1998-07;16.3;Y
1998-09-01 00:00:01;1998-10-01 00:00:00;1998-09;12.9;Y
1998-10-01 00:00:01;1998-11-01 00:00:00;1998-10;6.9;Y
1998-11-01 00:00:01;1998-12-01 00:00:00;1998-11;0.1;Y
1998-12-01 00:00:01;1999-01-01 00:00:00;1998-12;0.2;Y
1999-01-01 00:00:01;1999-02-01 00:00:00;1999-01;-1.6;Y
1999-02-01 00:00:01;1999-03-01 00:00:00;1999-02;-1.5;Y
1999-03-01 00:00:01;1999-04-01 00:00:00;1999-03;1.6;Y
1999-04-01 00:00:01;1999-05-01 00:00:00;1999-04;7.4;Y
1999-05-01 00:00:01;1999-06-01 00:00:00;1999-05;10.1;Y
1999-06-01 00:00:01;1999-07-01 00:00:00;1999-06;16.9;Y
1999-07-01 00:00:01;1999-08-01 00:00:00;1999-07;20.0;Y
1999-08-01 00:00:01;1999-09-01 00:00:00;1999-08;17.0;Y
1999-09-01 00:00:01;1999-10-01 00:00:00;1999-09;16.0;Y
1999-10-01 00:00:01;1999-11-01 00:00:00;1999-10;8.1;Y
1999-11-01 00:00:01;1999-12-01 00:00:00;1999-11;4.7;Y
1999-12-01 00:00:01;2000-01-01 00:00:00;1999-12;-1.0;Y
2000-01-01 00:00:01;2000-02-01 00:00:00;2000-01;-0.3;Y
2000-02-01 00:00:01;2000-03-01 00:00:00;2000-02;0.5;Y
2000-03-01 00:00:01;2000-04-01 00:00:00;2000-03;2.2;Y
2000-04-01 00:00:01;2000-05-01 00:00:00;2000-04;6.8;Y
2000-05-01 00:00:01;2000-06-01 00:00:00;2000-05;12.3;Y
2000-06-01 00:00:01;2000-07-01 00:00:00;2000-06;14.5;Y
2000-07-01 00:00:01;2000-08-01 00:00:00;2000-07;16.1;Y
2000-08-01 00:00:01;2000-09-01 00:00:00;2000-08;16.3;Y
2000-09-01 00:00:01;2000-10-01 00:00:00;2000-09;12.1;Y
2000-10-01 00:00:01;2000-11-01 00:00:00;2000-10;10.6;Y
2000-11-01 00:00:01;2000-12-01 00:00:00;2000-11;7.1;Y
2000-12-01 00:00:01;2001-01-01 00:00:00;2000-12;2.9;Y
2001-01-01 00:00:01;2001-02-01 00:00:00;2001-01;0.0;Y
2001-02-01 00:00:01;2001-03-01 00:00:00;2001-02;-3.4;Y
2001-03-01 00:00:01;2001-04-01 00:00:00;2001-03;-0.4;Y
2001-04-01 00:00:01;2001-05-01 00:00:00;2001-04;5.8;Y
2001-05-01 00:00:01;2001-06-01 00:00:00;2001-05;11.0;Y
2001-06-01 00:00:01;2001-07-01 00:00:00;2001-06;15.3;Y
2001-07-01 00:00:01;2001-08-01 00:00:00;2001-07;19.9;Y
2001-08-01 00:00:01;2001-09-01 00:00:00;2001-08;17.2;Y
2001-09-01 00:00:01;2001-10-01 00:00:00;2001-09;12.5;Y
2001-10-01 00:00:01;2001-11-01 00:00:00;2001-10;10.0;Y
2001-11-01 00:00:01;2001-12-01 00:00:00;2001-11;3.1;Y
2001-12-01 00:00:01;2002-01-01 00:00:00;2001-12;-1.4;Y
2002-01-01 00:00:01;2002-02-01 00:00:00;2002-01;-0.4;Y
2002-02-01 00:00:01;2002-03-01 00:00:00;2002-02;1.7;Y
2002-03-01 00:00:01;2002-04-01 00:00:00;2002-03;2.5;Y
2002-04-01 00:00:01;2002-05-01 00:00:00;2002-04;7.2;Y
2002-05-01 00:00:01;2002-06-01 00:00:00;2002-05;12.5;Y
2002-06-01 00:00:01;2002-07-01 00:00:00;2002-06;17.3;Y
2002-07-01 00:00:01;2002-08-01 00:00:00;2002-07;19.1;Y
2002-08-01 00:00:01;2002-09-01 00:00:00;2002-08;21.2;Y
2002-09-01 00:00:01;2002-10-01 00:00:00;2002-09;13.5;Y
