﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Göteborg-Landvetter Flygplats;72420;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-11-01 00:00:00;1996-01-09 23:59:59;154.0;57.6678;12.2963
2008-02-01 00:00:00;2026-05-01 14:20:59;154.0;57.6764;12.2919

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1977-10-01 00:00:01;1977-11-01 00:00:00;1977-10;8.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1977-11-01 00:00:01;1977-12-01 00:00:00;1977-11;3.4;Y;;Tidsperiod (fr.o.m.) = 1977-11-01 00:00:00 (UTC)
1977-12-01 00:00:01;1978-01-01 00:00:00;1977-12;0.5;Y;;Tidsperiod (t.o.m.) = 2026-02-01 06:00:00 (UTC)
1978-01-01 00:00:01;1978-02-01 00:00:00;1978-01;-0.6;Y;;Medelvärdet är beräknat för = 1 månad
1978-02-01 00:00:01;1978-03-01 00:00:00;1978-02;-4.6;Y;;Kvalitetskoderna:
1978-03-01 00:00:01;1978-04-01 00:00:00;1978-03;-0.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1978-04-01 00:00:01;1978-05-01 00:00:00;1978-04;4.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1978-05-01 00:00:01;1978-06-01 00:00:00;1978-05;11.0;Y;;Nätinformation:
1978-06-01 00:00:01;1978-07-01 00:00:00;1978-06;14.8;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1978-07-01 00:00:01;1978-08-01 00:00:00;1978-07;14.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1978-08-01 00:00:01;1978-09-01 00:00:00;1978-08;14.5;Y;;Möjliga orsaker till saknade data:
1978-09-01 00:00:01;1978-10-01 00:00:00;1978-09;9.6;Y;;– stationen eller givaren har varit ur funktion.
1978-10-01 00:00:01;1978-11-01 00:00:00;1978-10;8.2;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1978-11-01 00:00:01;1978-12-01 00:00:00;1978-11;5.7;Y
1978-12-01 00:00:01;1979-01-01 00:00:00;1978-12;-5.4;Y
1979-01-01 00:00:01;1979-02-01 00:00:00;1979-01;-6.9;Y
1979-02-01 00:00:01;1979-03-01 00:00:00;1979-02;-5.7;Y
1979-03-01 00:00:01;1979-04-01 00:00:00;1979-03;-0.8;Y
1979-04-01 00:00:01;1979-05-01 00:00:00;1979-04;3.6;Y
1979-05-01 00:00:01;1979-06-01 00:00:00;1979-05;9.3;Y
1979-06-01 00:00:01;1979-07-01 00:00:00;1979-06;15.0;Y
1979-07-01 00:00:01;1979-08-01 00:00:00;1979-07;14.0;Y
1979-08-01 00:00:01;1979-09-01 00:00:00;1979-08;13.8;Y
1979-09-01 00:00:01;1979-10-01 00:00:00;1979-09;11.1;Y
1979-10-01 00:00:01;1979-11-01 00:00:00;1979-10;5.8;Y
1979-11-01 00:00:01;1979-12-01 00:00:00;1979-11;2.9;Y
1979-12-01 00:00:01;1980-01-01 00:00:00;1979-12;-1.0;Y
1980-01-01 00:00:01;1980-02-01 00:00:00;1980-01;-4.2;Y
1980-02-01 00:00:01;1980-03-01 00:00:00;1980-02;-5.3;Y
1980-03-01 00:00:01;1980-04-01 00:00:00;1980-03;-1.6;Y
1980-04-01 00:00:01;1980-05-01 00:00:00;1980-04;5.1;Y
1980-05-01 00:00:01;1980-06-01 00:00:00;1980-05;10.2;Y
1980-06-01 00:00:01;1980-07-01 00:00:00;1980-06;14.9;Y
