region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,1987-01-01,0,1.0325806451612902,32.01
dalarna,1987-02-01,2,2.1301190476190475,59.64333333333333
dalarna,1987-03-01,10,3.6896774193548385,114.38
dalarna,1987-04-01,12,5.063111111111112,151.89333333333335
dalarna,1987-05-01,14,5.610913978494624,173.93833333333333
dalarna,1987-06-01,5,2.608722222222222,78.26166666666667
dalarna,1987-07-01,18,9.141720430107526,283.3933333333333
dalarna,1987-08-01,10,4.802634408602151,148.88166666666666
dalarna,1987-09-01,11,5.157055555555556,154.71166666666667
dalarna,1987-10-01,4,1.8946774193548388,58.735
dalarna,1987-11-01,3,1.2246666666666668,36.74
dalarna,1987-12-01,0,1.1669354838709676,36.175
dalarna,1988-01-01,0,0.2996236559139785,9.288333333333334
dalarna,1988-02-01,0,0.5788505747126438,16.78666666666667
dalarna,1988-03-01,8,3.095698924731183,95.96666666666667
dalarna,1988-04-01,20,7.106333333333334,213.19
dalarna,1988-05-01,26,10.533924731182797,326.5516666666667
dalarna,1988-06-01,18,8.338666666666667,250.16
dalarna,1988-07-01,16,6.452795698924731,200.03666666666666
dalarna,1988-08-01,16,5.788817204301075,179.45333333333332
dalarna,1988-09-01,12,4.771055555555555,143.13166666666666
dalarna,1988-10-01,11,3.7518817204301076,116.30833333333334
dalarna,1988-11-01,8,3.0216111111111115,90.64833333333334
dalarna,1988-12-01,0,1.9159677419354837,59.394999999999996
dalarna,1989-01-01,2,1.6701075268817205,51.77333333333333
dalarna,1989-02-01,7,3.408452380952381,95.43666666666667
dalarna,1989-03-01,7,3.526666666666667,109.32666666666667
dalarna,1989-04-01,12,4.397277777777777,131.91833333333332
dalarna,1989-05-01,23,9.439838709677419,292.635
dalarna,1989-06-01,24,9.806222222222223,294.18666666666667
dalarna,1989-07-01,23,9.376021505376343,290.65666666666664
dalarna,1989-08-01,13,5.821182795698924,180.45666666666665
dalarna,1989-09-01,16,6.031777777777778,180.95333333333335
dalarna,1989-10-01,14,4.103602150537634,127.21166666666667
dalarna,1989-11-01,2,2.5025,75.075
dalarna,1989-12-01,0,1.416021505376344,43.89666666666667
dalarna,1990-01-01,1,1.2615591397849462,39.108333333333334
dalarna,1990-02-01,2,1.1530952380952382,32.28666666666667
dalarna,1990-03-01,13,4.720376344086022,146.33166666666668
dalarna,1990-04-01,14,5.715944444444444,171.47833333333332
dalarna,1990-05-01,22,9.632795698924731,298.6166666666667
dalarna,1990-06-01,17,7.8389444444444445,235.16833333333332
dalarna,1990-07-01,14,6.126881720430108,189.93333333333334
dalarna,1990-08-01,14,5.840537634408602,181.05666666666667
dalarna,1990-09-01,4,2.4108333333333336,72.325
dalarna,1990-10-01,13,3.9366666666666665,122.03666666666666
dalarna,1990-11-01,4,2.4453888888888886,73.36166666666666
dalarna,1990-12-01,0,1.3845698924731182,42.92166666666667
dalarna,1991-01-01,3,2.406290322580645,74.595
dalarna,1991-02-01,9,2.8570238095238096,79.99666666666667
dalarna,1991-03-01,6,2.302204301075269,71.36833333333334
dalarna,1991-04-01,19,6.8821111111111115,206.46333333333334
dalarna,1991-05-01,18,7.700860215053763,238.72666666666666
dalarna,1991-06-01,10,4.416055555555555,132.48166666666665
dalarna,1991-07-01,22,9.86747311827957,305.89166666666665
dalarna,1991-08-01,19,6.531989247311828,202.49166666666667
dalarna,1991-09-01,17,6.184111111111111,185.52333333333334
dalarna,1991-10-01,5,2.061021505376344,63.891666666666666
dalarna,1991-11-01,3,1.772888888888889,53.18666666666667
dalarna,1991-12-01,0,1.5749462365591398,48.82333333333333
dalarna,1992-01-01,2,1.8403225806451613,57.05
dalarna,1992-02-01,5,2.4919540229885055,72.26666666666667
dalarna,1992-03-01,6,2.82010752688172,87.42333333333333
dalarna,1992-04-01,11,4.365666666666667,130.97
dalarna,1992-05-01,24,10.08978494623656,312.78333333333336
dalarna,1992-06-01,26,11.142833333333334,334.285
dalarna,1992-07-01,18,7.654516129032258,237.29
dalarna,1992-08-01,12,5.026075268817205,155.80833333333334
dalarna,1992-09-01,11,4.3035,129.105
